num_of_files,total_lines,mod_lines,label,insertions,deletions
2,80,83,None,81,2
121,116,4045,None,1824,1074
42,942,1251,None,276,521
201,21,3536,bug,2148,432
23,226,2220,non-bug,1202,411
10,112,2367,None,1493,874
1,0,1,None,0,0
69,485,1571,None,752,321
4,32,1196,None,481,166
1,746,2,None,0,0
5,80,2280,None,2116,77
2,13118,10,non-bug,5,5
29,204,10981,None,10281,375
2,3212,32,non-bug,16,16
32,201,12637,None,12010,413
13,83,55,None,38,17
1,571,2,None,1,1
4,1002,72,None,46,26
4,81,10,non-bug,6,0
153,25,458,None,250,208
5,57,88,None,26,22
2,3211,32,None,16,16
16,91,131,None,53,78
64,927,414,None,144,270
124,106,1630,None,370,69
9,30,89,None,59,30
5,31,182,None,78,104
10,81,292,None,1,118
15,54,32,None,16,16
3,49,13,non-bug,8,5
8,29,84,None,42,42
5,42,260,None,186,74
3,325,75,non-bug,25,19
3,57,205,None,133,72
6,28,160,None,135,25
3,31,39,None,26,0
2,49,4,None,2,2
138,370,1586,None,588,556
51,50,653,None,299,267
54,46,120,None,60,60
12,84,144,None,64,27
54,43,770,None,365,333
1,3394,2,non-bug,1,1
1,49,49,None,49,0
56,106,308,None,9,9
17,442,329,None,76,92
4,3394,54,None,4,4
4,126,57,None,29,28
151,442,645,None,282,237
1,3392,20,None,10,10
202,940,5082,non-bug,1739,2255
11,97,1151,None,141,31
26,534,2599,non-bug,650,203
4,936,212,None,176,6
5,92,176,None,66,69
23,82,5012,None,2097,15
3,296,54,None,28,26
46,522,3903,non-bug,942,433
22,936,2290,non-bug,866,159
42,907,1856,non-bug,881,2
7,907,1018,None,715,6
58,61,1575,non-bug,1257,297
8,464,600,None,372,228
9,116,167,None,133,34
2,436,62,non-bug,7,5
6,863,578,non-bug,422,98
143,852,4851,bug,3179,1217
55,195,1757,None,1111,637
258,776,2526,None,588,521
4,0,56,None,30,26
2,0,8,None,4,4
5,0,14,non-bug,0,0
10,898,1538,None,998,253
116,293,245,None,11,2
1,0,1,None,1,0
105,773,1077,bug,510,550
1,1282,8,None,4,4
1,3737,2,None,1,1
52,130,1131,None,454,673
13,292,378,None,236,140
5,275,581,None,572,9
1,0,8,None,6,2
8,0,23,None,0,0
1,0,17,None,16,1
5,80,75,None,23,52
6,26,230,None,106,124
5,114,48,None,20,20
2,447,112,None,4,108
2,213,12,None,8,4
56,443,418,bug,178,240
5,78,113,None,33,80
9,153,44,None,11,33
137,773,1137,None,676,147
5,37,292,None,292,0
1,164,9,None,4,5
2,0,268,None,268,0
51,429,383,None,184,185
59,768,201,None,77,118
9,768,210,None,4,92
1,0,7,None,7,0
4,453,78,None,13,58
9,439,109,None,26,77
10,376,65,None,27,38
2,121,55,None,11,44
2,131,6,None,5,1
2,79,18,None,4,14
2,177,17,None,4,13
2,144,76,None,19,57
9,48,87,None,19,68
18,548,305,None,74,118
1,54,2,None,1,1
2,76,14,None,5,9
27,365,252,None,40,44
3,168,82,None,59,23
46,746,1268,None,186,1041
1,3404,2,None,1,1
5,67,1915,None,952,963
210,232,2211,None,1166,803
3,0,19,None,19,0
65,58,3409,bug,2387,1022
128,196,4884,non-bug,2589,2283
14,59,563,None,307,248
34,328,875,None,445,430
164,43,1632,None,464,422
2,0,27,None,25,2
36,365,509,bug,292,217
2,174,10,None,0,0
1,0,250,None,242,8
1,0,61,None,21,40
1,0,328,None,281,47
1,0,10,None,6,4
1032,116,269345,None,49226,49305
1032,116,269345,bug,49226,49305
1,0,326,None,279,47
5,0,20,None,8,12
5,0,20,None,8,12
1,0,15,non-bug,0,0
1,0,15,non-bug,0,0
650,116,40379,non-bug,13376,6931
650,116,40379,bug,13376,6931
1,0,9,None,6,3
1,0,9,None,6,3
2,0,32,None,26,6
2,375,68,None,12,56
2,375,68,None,12,56
1,99,99,None,99,0
1,351,2,non-bug,1,1
3,115,37,non-bug,3,2
1,351,2,non-bug,1,1
2,0,32,None,26,6
3,115,37,non-bug,3,2
1,99,99,None,99,0
6,44,2054,None,1527,135
6,44,2054,None,1527,135
249,663,58666,None,24937,446
249,663,58666,bug,24937,446
1,0,34,None,33,1
1,0,13,None,11,2
3,44,182,None,182,0
